code,name,spec,uom,price,stats_category(원본),new_category,stats_bucket,matched_rule
"ITEM-0001","속기저귀","","ea","51450","기저귀","PAT_DIAPER","DIAPER_CARE","기저귀"
"ITEM-0002","겉기저귀","대","ea","32000","기저귀","PAT_DIAPER","DIAPER_CARE","기저귀"
"ITEM-0003","겉기저귀","특대","ea","40800","기저귀","PAT_DIAPER","DIAPER_CARE","기저귀"
"ITEM-0004","이지메트","","ea","40000","기저귀","PAT_DIAPER","DIAPER_CARE","fallback-기저귀"
"ITEM-0005","Guaze","2*2","ea","1800","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0006","Guaze","3*3","ea","4200","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0007","Guaze","4*3","ea","6000","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0008","Guaze","4*4","ea","8400","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0009","탈지면","4*3/450g","ea","3960","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0010","Cotton Ball","1호/450g","ea","4250","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0011","Cotton Ball","2호/450g","ea","4250","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0012","Cotton Ball","3호/450g","ea","5500","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0013","Cotton Ball/필터볼","2호/450g","ea","5500","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0014","Cotton Ball/필터볼","3호/450g","ea","5500","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0015","Surgical Pad","18*18*20's","ea","5540","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0016","Fix roll Tape","10cm*10cm","ea","5850","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0017","Biopore","천(1*12's)","ea","7700","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0018","Biopore","종이(1*12's)","ea","7700","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0019","3M micropore","1*12's/1530-1","ea","11000","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0020","밴드에스","1*45's","ea","13230","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0021","탄력붕대(E/B)","3*12's","ea","4908","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0022","탄력붕대(E/B)","4*12's","ea","6096","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0023","탄력붕대(E/B)","6*12's","ea","7944","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0024","스프린트","3""","ea","149390","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0025","스프린트","4""","ea","160120","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0026","스프린트","6""","ea","220450","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0027","솜붕대","3""","ea","4400","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0028","솜붕대","4""","ea","4400","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0029","솜붕대","6""","ea","5500","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0030","3M 테가덤 필름","CHG 1660R","ea","142500","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0031","3M 테가덤 필름","1626W","ea","27150","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0032","장루 판","413182","ea","6110","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0033","장루 파우치","401502","ea","2010","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0034","목설압자","대/100pcs","ea","1050","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0035","솜면봉","1*10","ea","4400","의료소모품","MED_DRESSING","MEDICAL","드레싱"
"ITEM-0036","스킨코튼플러스","400매","ea","2750","의료소모품","PAT_BATH","GENERAL","세면·목욕"
"ITEM-0037","알콜스왑(70%)","100매","ea","2720","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0038","D/Syringe","1cc/26G","ea","5200","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0039","D/Syringe","3cc/23G","ea","4800","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0040","D/Syringe","5cc/23G","ea","5600","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0041","D/Syringe","10cc/23G","ea","8200","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0042","D/Syringe","20cc/23G","ea","7000","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0043","채혈주사기","5cc/23G","ea","10000","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0044","채혈주사기","10cc/21G","ea","15000","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0045","Enema Syringe","60cc","ea","6875","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0046","D/Needle","18G","ea","2600","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0047","D/Needle","23G","ea","2200","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0048","Dosi Flow(MLS-32)","EA","ea","2620","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0049","I.V Set(MLS-11)","110/무침","ea","18750","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0050","I.V Set(MLS-24)","122 Y-type","ea","20750","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0051","Medicut(한백)","18G","ea","15400","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0052","Medicut(한백)","22G","ea","14850","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0053","Medicut(한백)","24G","ea","14850","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0054","Heparine Cap","1*100","ea","180","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0055","novo fine","32G","ea","24200","의료소모품","MED_INJECTION","MEDICAL","주사·투약"
"ITEM-0056","TWO-lumen cvc","7Fr","ea","31900","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0057","I.V CATH","18G(45mm)","ea","16500","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0058","Urine Bag","EA","ea","1290","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0059","S/Foley Cath","12Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0060","S/Foley Cath","14Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0061","S/Foley Cath","16Fr(3way)","ea","4700","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0062","S/Foley Cath","16Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0063","S/Foley Cath","18Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0064","S/Foley Cath","20Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0065","S/Foley cath","22Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0066","S/Foley cath","24Fr","ea","3790","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0067","Nelaton Cath","6Fr","ea","341","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0068","Nelaton Cath","7Fr","ea","341","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0069","Nelaton Cath","8Fr","ea","341","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0070","Rectal Tube","28Fr","ea","1480","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0071","Levin Tube","14Fr","ea","3850","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0072","Levin Tube","16Fr","ea","3850","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0073","Levin Tube","18Fr","ea","3850","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0074","Suction Tip(일체형)","12Fr","ea","495","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0075","Suction Tip(일체형)","14Fr","ea","495","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0076","Suction Tip(일체형)","16Fr","ea","495","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0077","Suction Tip(일체형)","18Fr","ea","495","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0078","Suction line","ea","ea","1870","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0079","Connector","I-Type","ea","180","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0080","Connector","Y-Type","ea","180","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0081","Surgical Glove","L","ea","330","의료소모품","STAFF_GLOVE","GENERAL","장갑"
"ITEM-0082","Surgical Glove","M","ea","330","의료소모품","STAFF_GLOVE","GENERAL","장갑"
"ITEM-0083","Surgical Glove","S","ea","330","의료소모품","STAFF_GLOVE","GENERAL","장갑"
"ITEM-0084","E.K.G. Paper","ea","ea","1100","의료소모품","MED_OTHER","MEDICAL","fallback-의료소모품"
"ITEM-0085","EKG Electrode","Skintact","ea","7290","의료소모품","MED_MONITOR","MEDICAL","검사·모니터"
"ITEM-0086","T-Tube","6","ea","14260","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0087","T-Tube","6.5","ea","14260","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0088","T-Tube","7","ea","14260","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0089","T-Tube","7.5","ea","14260","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0090","T-tube","8","EA","14260","의료소모품","MED_CATHETER","MEDICAL","카테터"
"ITEM-0091","Speechcannuia","9","ea","40710","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0092","Speechcannuia","10","ea","40710","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0093","Air Way","3#(96mm)","ea","1350","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0094","Air Way","4호","ea","1350","의료소모품","MED_AIRWAY","MEDICAL","호흡"
"ITEM-0095","Air Way","7호","ea","1350","의료소모품","MED_AIRWAY","MEDICAL","호흡"
