item_code	name	category
ITEM-0130	Poly glove	INFECT_GLOVE
ITEM-0259	일회용 비닐가운	INFECT_GOWN
ITEM-0258	일회용 앞치마	INFECT_GOWN
ITEM-0282	일회용 헤어캡	INFECT_GOWN
ITEM-0219	덴탈마스크 (파랑)	INFECT_MASK
ITEM-0220	덴탈마스크 (흰색)	INFECT_MASK
ITEM-0252	위생마스크	INFECT_MASK
ALCOHOL-01	알콜솜	MEDICAL_FIXED
ITEM-0506	Air Way #0	MED_AIRWAY
ITEM-0507	Air Way #1	MED_AIRWAY
ITEM-0508	Air Way #2	MED_AIRWAY
ITEM-0509	Air Way #3	MED_AIRWAY
ITEM-0510	Air Way #4	MED_AIRWAY
ITEM-0511	Air Way #5	MED_AIRWAY
H-073	Air Way (3#(96mm))	MED_AIRWAY
ITEM-0093	Air Way (3#(96mm))	MED_AIRWAY
H-075	Air Way (4호)	MED_AIRWAY
ITEM-0094	Air Way (4호)	MED_AIRWAY
H-076	Air Way (7호)	MED_AIRWAY
ITEM-0095	Air Way (7호)	MED_AIRWAY
ITEM-0104	BREATHING SET	MED_AIRWAY
H-146	BREATHING SET (ea)	MED_AIRWAY
ITEM-0136	ENDO TUBE (6)	MED_AIRWAY
H-098	ENDO TUBE (6.5)	MED_AIRWAY
ITEM-0137	ENDO TUBE (6.5)	MED_AIRWAY
H-100	ENDO TUBE (7)	MED_AIRWAY
ITEM-0138	ENDO TUBE (7)	MED_AIRWAY
H-099	ENDO TUBE (7.5)	MED_AIRWAY
ITEM-0139	ENDO TUBE (7.5)	MED_AIRWAY
H-097	ENDO TUBE (8)	MED_AIRWAY
ITEM-0140	ENDO TUBE (8)	MED_AIRWAY
H-134	LARYNGO SCOPY (대)	MED_AIRWAY
ITEM-0142	LARYNGO SCOPY (대)	MED_AIRWAY
H-143	M-VAC (2Way)	MED_AIRWAY
ITEM-0128	M-VAC (2Way)	MED_AIRWAY
H-080	Nasal Cannular (240cm(green))	MED_AIRWAY
ITEM-0099	Nasal Cannular (240cm(green))	MED_AIRWAY
H-132	Nasal Cannular (소아용)	MED_AIRWAY
ITEM-0100	Nasal Cannular (소아용)	MED_AIRWAY
H-082	Nebuilzer Kit (#8900(k4200008))	MED_AIRWAY
ITEM-0101	Nebuilzer Kit (#8900(k4200008))	MED_AIRWAY
ITEM-0102	Nebuilzer Mask	MED_AIRWAY
H-083	Nebuilzer Mask (EA)	MED_AIRWAY
ITEM-0103	O2 LINE	MED_AIRWAY
H-095	O2 LINE (EA)	MED_AIRWAY
H-058	O2 Mask (성인)	MED_AIRWAY
ITEM-0097	O2 Mask (성인)	MED_AIRWAY
H-131	O2 Mask (소아용)	MED_AIRWAY
ITEM-0098	O2 Mask (소아용)	MED_AIRWAY
H-133	STYLET	MED_AIRWAY
ITEM-0141	STYLET	MED_AIRWAY
H-119	Speechcannuia (10)	MED_AIRWAY
ITEM-0092	Speechcannuia (10)	MED_AIRWAY
ITEM-0091	Speechcannuia (9)	MED_AIRWAY
H-084	Speechcannuia (9size)	MED_AIRWAY
H-049	Suction Tip(일체형) (12Fr)	MED_AIRWAY
ITEM-0074	Suction Tip(일체형) (12Fr)	MED_AIRWAY
H-050	Suction Tip(일체형) (14Fr)	MED_AIRWAY
ITEM-0075	Suction Tip(일체형) (14Fr)	MED_AIRWAY
H-051	Suction Tip(일체형) (16Fr)	MED_AIRWAY
ITEM-0076	Suction Tip(일체형) (16Fr)	MED_AIRWAY
H-052	Suction Tip(일체형) (18Fr)	MED_AIRWAY
ITEM-0077	Suction Tip(일체형) (18Fr)	MED_AIRWAY
ITEM-0078	Suction line	MED_AIRWAY
H-053	Suction line (ea)	MED_AIRWAY
H-069	T-Tube (6)	MED_AIRWAY
H-070	T-Tube (6.5)	MED_AIRWAY
H-071	T-Tube (7)	MED_AIRWAY
H-072	T-Tube (7.5)	MED_AIRWAY
H-077	T-piece (ea)	MED_AIRWAY
H-136	T-tube (8)	MED_AIRWAY
H-144	TRACOE (REF320 7#)	MED_AIRWAY
ITEM-0129	TRACOE (REF320 7#)	MED_AIRWAY
L-076	덴탈마스크 (파랑)	MED_AIRWAY
L-077	덴탈마스크 (흰색)	MED_AIRWAY
X-002	벽붙착 산소메타	MED_AIRWAY
L-109	위생마스크	MED_AIRWAY
X-001	이동식 산소메타	MED_AIRWAY
H-090	Connector (I-Type)	MED_CATHETER
ITEM-0079	Connector (I-Type)	MED_CATHETER
H-091	Connector (Y-Type)	MED_CATHETER
ITEM-0080	Connector (Y-Type)	MED_CATHETER
H-126	I.V CATH (18G(45mm))	MED_CATHETER
ITEM-0057	I.V CATH (18G(45mm))	MED_CATHETER
